,episode_length,velocity_step_mean,success,episode_reward,episode_cost,crash,crash_vehicle,out_of_road,crash_object,crash_building,crash_sidewalk,first_crash_step,first_crash_vehicle_step,first_out_of_road_step,crash_vehicle_steps,out_of_road_steps,route_completion,episode,ckpt_index,env_id,num_ep_in_one_env
43,199,11.07357089879457,False,227.43505640702296,1.0,True,True,False,False,False,False,199,199,-1,1,0,0.49293459390385597,44,6200,1043,1
44,216,12.773880172599467,True,286.6724778834835,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9835237865719247,45,6200,1044,1
45,105,11.436614645805784,False,123.1058059854075,1.0,True,True,False,False,False,False,105,105,-1,1,0,0.2977981245868107,46,6200,1045,1
46,203,14.491440378170786,False,305.08185856672725,1.0,True,True,False,False,False,False,203,203,-1,1,0,0.5667063168633092,47,6200,1046,1
47,188,11.647495818968869,True,226.3971073398317,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9773449717937466,48,6200,1047,1
48,171,10.492017089785126,False,185.92507532640903,1.0,True,True,False,False,False,False,171,171,-1,1,0,0.46761758638736317,49,6200,1048,1
49,257,12.91082169231686,True,343.3803641212117,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9860644433796355,50,6200,1049,1
0,146,12.879486003999446,False,195.06082405506996,1.0,True,True,False,False,False,False,146,146,-1,1,0,0.6202236959070212,1,6400,1000,1
1,164,9.793315022701794,False,167.5396354257585,1.0,True,False,True,False,False,True,164,-1,164,0,1,0.5610670122472681,2,6400,1001,1
2,281,13.566157499067344,True,396.2600850106526,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9883944192912482,3,6400,1002,1
3,204,12.422798830804979,False,262.0895492646241,1.0,True,True,False,False,False,False,204,204,-1,1,0,0.6148964603227088,4,6400,1003,1
4,197,14.336420740161397,False,292.5675279047349,1.0,True,True,False,False,False,False,197,197,-1,1,0,0.5931049918143328,5,6400,1004,1
5,270,10.253709448858919,False,284.9612334194886,1.0,True,True,False,False,False,False,270,270,-1,1,0,0.7636380425697282,6,6400,1005,1
6,303,13.70600721764376,True,429.98902176452344,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9901326639152023,7,6400,1006,1
7,275,12.152379358706273,False,346.1139788084881,1.0,True,True,False,False,False,False,275,275,-1,1,0,0.8091911762727781,8,6400,1007,1
8,170,14.240783148596494,False,251.12019016965266,1.0,True,True,False,False,False,False,170,170,-1,1,0,0.6892083499905582,9,6400,1008,1
9,275,12.510862847565043,True,356.15178173053175,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9871887793559244,10,6400,1009,1
10,245,12.732647230574228,True,323.9568612961969,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9857417871011392,11,6400,1010,1
11,295,10.626913064654046,False,322.778690148951,1.0,False,False,True,False,False,False,-1,-1,295,0,1,0.8925645192610447,12,6400,1011,1
12,103,11.19521549623864,False,118.79010952703239,1.0,True,True,False,False,False,False,103,103,-1,1,0,0.32264677865744484,13,6400,1012,1
13,127,10.944127993843175,False,143.05682430931805,1.0,True,True,False,False,False,False,127,127,-1,1,0,0.42607708650337106,14,6400,1013,1
14,214,11.777448484662877,True,262.07049425892507,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9792081490728193,15,6400,1014,1
