,episode_length,velocity_step_mean,success,episode_reward,episode_cost,crash,crash_vehicle,out_of_road,route_completion,rss_unsafe_steps,rss_longitudinal_unsafe_steps,rss_lateral_unsafe_steps,rss_shield_steps,rss_longitudinal_shield_steps,rss_lateral_shield_steps,rss_first_unsafe_step,rss_first_longitudinal_unsafe_step,rss_first_lateral_unsafe_step,rss_first_shield_step,rss_first_lateral_shield_step,episode,ckpt_index,env_id,num_ep_in_one_env
15,696,7.78046383955448,True,561.6658621723226,0.0,False,False,False,0.9912325349648795,96,68,28,96,68,28,74,74,89,75,90,16,6600,1015,1
16,278,10.754486740304143,True,311.5307968206851,0.0,False,False,False,0.985233347452001,18,3,15,18,3,15,148,168,148,149,149,17,6600,1016,1
17,389,8.537752803182734,True,344.47997514918404,0.0,False,False,False,0.9856644879758689,48,35,13,48,35,13,38,38,285,39,286,18,6600,1017,1
18,341,12.202231482211925,True,433.9329399935534,0.0,False,False,False,0.9884615776074589,29,24,5,29,24,5,104,104,172,105,173,19,6600,1018,1
19,274,10.358722652866446,True,295.858549622446,0.0,False,False,False,0.9880414798969982,21,21,0,21,21,0,123,123,-1,124,-1,20,6600,1019,1
20,284,8.142707454636392,True,240.02486899527855,0.0,False,False,False,0.9844583974471506,44,6,38,44,6,38,69,69,126,70,127,21,6600,1020,1
21,414,8.996693374138054,True,385.46733382715524,0.0,False,False,False,0.9878428896439991,60,49,11,60,49,11,100,100,389,101,390,22,6600,1021,1
22,397,10.07759137453186,True,416.209868453936,0.0,False,False,False,0.989392373154299,56,21,35,56,21,35,162,228,162,163,163,23,6600,1022,1
23,122,10.946529102357468,False,138.25971156824076,1.0,False,False,True,0.45040480385802767,0,0,0,0,0,0,-1,-1,-1,-1,-1,24,6600,1023,1
24,523,9.40804450817802,True,510.5791729343195,0.0,False,False,False,0.9911259605343185,94,0,94,94,0,94,128,-1,128,129,129,25,6600,1024,1
25,234,10.46032113630722,True,255.67053689906797,0.0,False,False,False,0.9856880380683092,14,14,0,14,14,0,141,141,-1,142,-1,26,6600,1025,1
26,620,7.535034130750409,True,483.943540016871,0.0,False,False,False,0.9911520509510722,89,81,9,89,81,9,37,37,233,38,234,27,6600,1026,1
27,403,8.143279876680523,True,339.88764332660486,0.0,False,False,False,0.985678987717163,74,0,74,74,0,74,85,-1,85,86,86,28,6600,1027,1
